ORF1,ORF2
YJL151C,YJL151C
YER020W,YER145C
YBR023C,YHR142W
YKL041W,YLR025W
YDR200C,YML068W
YKL054C,YNL197C
YML086C,YML086C
YBL029CA,YDL192W
YKL140W,YLR144C
YCR093W,YIL038C
YDR501W,YGL077C
YDR378C,YJR022W
YLR371W,YNL283C
YLL028W,YPR138C
YGR202C,YJL174W
YDL160C,YER035W
YOR341W,YPR010C
YJL178C,YPL045W
YDR141C,YHR094C
YOR027W,YOR027W
YER112W,YLR438CA
YBL029CA,YHR096C
YDL222C,YGR138C
YER136W,YFL005W
YGR281W,YGR281W
YGL203C,YGR020C
YBL042C,YDL222C
YDR501W,YNL283C
YCR021C,YDR497C
YDR352W,YGL006W
YFL038C,YML086C
YLR350W,YOR054C
YCL063W,YFR021W
YDR098C,YKR071C
YNL166C,YNL166C
YFL003C,YGR099W
YBR052C,YOL105C
YHR007C,YMR272C
YJL053W,YMR010W
YCR028CA,YGR055W
YDL131W,YDL131W
YGL077C,YHR096C
YDR032C,YML016C
YGR280C,YGR280C
YDR264C,YGL203C
YDL160C,YKL054C
YDR032C,YMR120C
YCR030C,YGR241C
YBR296CA,YLR200W
YBL039WA,YIR038C
YKR072C,YPR113W
YDR141C,YMR010W
YDR032C,YGL108C
YGL006W,YJL154C
YDR093W,YER166W
YBL039WA,YIR037W
YBR004C,YIL027C
YCR021C,YJR076C
YBR023C,YER166W
YDL192W,YOL147C
YKL051W,YPR138C
YKL073W,YOR360C
YOR341W,YPR187W
YGR060W,YMR134W
YNR051C,YNR051C
YBR234C,YPL004C
YMR010W,YNL287W
YKL051W,YOR273C
YDL198C,YDR092W
YAL053W,YMR238W
YBR177C,YGR082W
YGL094C,YKL054C
YFL048C,YOL129W
YGL120C,YJL148W
YBL007C,YFR024CA
YOL012C,YPL127C
YBR106W,YGR138C
YGL077C,YHR094C
YGL172W,YGR119C
YKL088W,YKR072C
YER020W,YKL051W
YDR032C,YPL058C
YLR350W,YNL190W
YBR002C,YMR149W
YBR177C,YKL140W
YCR030C,YGR130C
YDL235C,YOR301W
YHR089C,YPL127C
YBR207W,YDR100W
YGL172W,YGL172W
YKR035WA,YNL265C
YHR007C,YML055W
YGL049C,YOR204W
YCL021WA,YPR179C
YDL212W,YHR007C
YGL077C,YMR011W
YIL143C,YLR028C
YAR042W,YAR042W
YGR055W,YGR121C
YGL077C,YML016C
YKL002W,YKR035WA
YAL021C,YIL038C
YCR021C,YHL007C
YER166W,YGR229C
YBL102W,YPL246C
YMR154C,YOR110W
YDL052C,YHR072W
YCR028CA,YML072C
YGL077C,YGL108C
YDL092W,YOL026C
YAL053W,YDR501W
YJL115W,YNL031C
YGL077C,YMR010W
YCR030C,YLR337C
YCR028CA,YDR296W
YGL049C,YNL016W
YCR021C,YLR454W
YCR021C,YHR001W
YMR015C,YPR113W
YIL075C,YLR421C
YLR384C,YPL101W
YHR089C,YKR092C
YGR055W,YLR219W
YPL117C,YPR168W
YBR241C,YDL192W
YDR240C,YOL090W
YLL034C,YLR288C
YER068W,YLR438CA
YGL203C,YLR330W
YGL108C,YNL283C
YML017W,YPL119C
YGL077C,YPL058C
YER170W,YGL061C
YGR261C,YPL195W
YEL013W,YJR138W
YOR270C,YPR036W
YER166W,YER166W
YDL222C,YGR130C
YLR258W,YPR184W
YFL062W,YHR007C
YDL029W,YJL153C
YMR120C,YNL281W
YOL077C,YPR016C
YOR153W,YPL265W
YHR072W,YLL012W
YGR262C,YKR038C
YGR055W,YLR326W
YLR337C,YNR035C
YDR501W,YPL221W
YNL283C,YPL058C
YML055W,YPL094C
YFR021W,YLR386W
YBL017C,YBL017C
YJR125C,YPR029C
YLR025W,YLR181C
YER145C,YGR138C
YCL010C,YGL262W
YBL026W,YLR438CA
YGR121C,YML072C
YBR052C,YPR138C
YDR503C,YDR503C
YKR072C,YKR072C
YDR032C,YLR413W
YML016C,YPR113W
YDL052C,YPL145C
YDR501W,YIL121W
YCR093W,YDR378C
YBR244W,YPL058C
YLR045C,YLR045C
YCR030C,YLR332W
YHR007C,YPL094C
YIL143C,YMR105C
YBR052C,YER020W
YIL027C,YMR112C
YBL051C,YDL165W
YJL151C,YJL154C
YLR360W,YPR079W
YFR024CA,YOR181W
YDR032C,YKR003W
YIR026C,YPL265W
YGR138C,YLL028W
YLR362W,YNL229C
YLR424W,YNL167C
YBR234C,YNL106C
YDL007W,YKL145W
YKL088W,YML016C
YBR052C,YIR037W
YKL172W,YPL012W
YHR098C,YHR098C
YGR128C,YHR196W
YLR370C,YLR370C
YHL006C,YHR007C
YDL192W,YIL121W
YOR087W,YOR087W
YML001W,YOR370C
YJL153C,YML086C
YBL020W,YDL085W
YBR283C,YMR149W
YPL101W,YPL101W
YDL192W,YDL192W
YOR195W,YOR195W
YIL038C,YNL091W
YHR007C,YNL130C
YHR096C,YIL121W
YLR326W,YML072C
YBL039WA,YGR028W
YEL002C,YML012W
YKL145W,YOR117W
YDR170C,YNL238W
YBR212W,YNL016W
YBR041W,YHR072W
YGR271W,YKR023W
YJR118C,YML101C
YDR141C,YGR055W
YML012W,YPL227C
YDL092W,YPL210C
YML012W,YPR113W
YBR177C,YKL094W
YDR032C,YGR055W
YGR284C,YHR039C
YKL181W,YKL181W
YGL077C,YLR413W
YHR096C,YHR096C
YER166W,YNL323W
YER020W,YJL016W
YBR234C,YDR354W
YDR068W,YDR264C
YMR149W,YPL265W
YDL222C,YLR332W
YGL012W,YHR133C
YCR021C,YOR273C
YGR138C,YKL051W
YAR002CA,YBR283C
YDL192W,YFL038C
YJL020C,YLR332W
YDR060W,YOR206W
YHR094C,YIL121W
YGL048C,YKL145W
YBR241C,YML012W
YML016C,YPL221W
YML016C,YPL004C
YCR021C,YER020W
YER029C,YHR004C
YBL029CA,YGR055W
YKL171W,YNL229C
YHR068W,YPR095C
YOR109W,YPR029C
YHR094C,YHR094C
YLR056W,YML012W
YLR403W,YOR370C
YBR186W,YDL092W
YDR486C,YLR025W
YJL154C,YOR132W
YER112W,YGR054W
YMR125W,YPL178W
YLL043W,YLL043W
YBR267W,YDR101C
YKL144C,YOR116C
YLR270W,YMR120C
YBR023C,YBR180W
YBL102W,YFR051C
YBL075C,YPL117C
YBR068C,YPL010W
YGR261C,YLR330W
YER040W,YNL229C
YDR011W,YGL077C
YBR234C,YDL029W
YGL077C,YGR055W
YLR006C,YNR031C
YER145C,YGR130C
YGR078C,YNL153C
YGL242C,YMR109W
YML016C,YML016C
YBR041W,YPL145C
YGL137W,YMR105C
YDR162C,YKR048C
YGL178W,YNR052C
YDR032C,YML072C
YMR120C,YMR120C
YLR337C,YMR109W
YDR238C,YGR229C
YBR200W,YDR166C
YDR394W,YKL145W
YMR010W,YMR010W
YHR007C,YOR165W
YJL178C,YOR069W
YGR055W,YNL283C
YOR081C,YOR081C
YBR200W,YHL007C
YGR284C,YLR378C
YCR077C,YKL054C
YDL192W,YNL323W
YIL121W,YPL058C
YHR187W,YPL086C
YGL006W,YLL048C
YMR229C,YNL002C
YKL054C,YNL016W
YCL056C,YDL198C
YKR003W,YPR113W
YDL055C,YDR385W
YBR207W,YHR175W
YKL008C,YPL227C
YBL029CA,YGL056C
YBL029CA,YML072C
YDL222C,YOR153W
YHR007C,YOR273C
YML013W,YML013W
YDR478W,YLL033W
YIL068C,YIL068C
YLR113W,YLR248W
YBR244W,YGR055W
YDL052C,YHR007C
YCL056C,YDL197C
YHR089C,YNL112W
YEL041W,YNL229C
YML121W,YML121W
YBL102W,YJL178C
YGL172W,YJL041W
YML012W,YML012W
YGL206C,YGR234W
YFR001W,YOR206W
YHR007C,YIR038C
YHR007C,YOR054C
YGL056C,YGL077C
YER159C,YNR065C
YHR007C,YIR037W
YGL077C,YML072C
YBR052C,YGR138C
YBL017C,YJL154C
YCR030C,YFR024CA
YJL148W,YJL148W
YBL042C,YBR052C
YGL213C,YGL213C
YKL172W,YNL112W
YIL009W,YML086C
YOR018W,YPR113W
YDR100W,YPL246C
YLR332W,YMR109W
YBR267W,YKR048C
YGL006W,YML018C
YGR130C,YKL051W
YGL006W,YHR094C
YBL102W,YDR264C
YML072C,YNL283C
YKR007W,YKR007W
YGL213C,YGR008C
YKR008W,YOR094W
YLR196W,YOR206W
YDR009W,YNL229C
YGL120C,YHR089C
YBR234C,YKL013C
YDR293C,YER112W
YDR189W,YDR517W
YHR007C,YJR118C
YHR016C,YOR042W
YFR001W,YLR449W
YBR207W,YOR270C
YER145C,YLR332W
YGL203C,YML038C
YDL029W,YLR370C
YNL084C,YNL243W
YBL039WA,YNL121C
YKL172W,YNL002C
YHR007C,YJR117W
YER105C,YIL115C
YDL159W,YMR322C
YAL053W,YGR055W
YGR060W,YLR378C
YBR296CA,YPL055C
YDR032C,YIL105C
YIL121W,YLR413W
YHR003C,YIR038C
YHR001W,YOR273C
YLR447C,YPR036W
YGL206C,YNL007C
YJL061W,YKL057C
YDL137W,YDL192W
YEL051W,YGL006W
YLL028W,YLR332W
YGR020C,YPR036W
YHR196W,YMR093W
YER020W,YOL105C
YER020W,YHR001W
YGR198W,YMR212C
YML072C,YPR113W
YCR021C,YGR138C
YDR398W,YJL109C
YCL056C,YFR025C
YAR002CA,YJR010CA
YGL203C,YPR075C
YNL112W,YOL077C
YDR501W,YJL151C
YDR068W,YLL001W
YDR297W,YKL088W
YFR024CA,YHR016C
YDR170C,YLR330W
YGR055W,YPL221W
YGR055W,YPL004C
YKL008C,YKL008C
YDR284C,YEL013W
YFR040W,YPR040W
YIL034C,YNL138W
YKR067W,YPL227C
YOR057W,YOR276W
YDL192W,YGR284C
YHR081W,YNL112W
YGL049C,YMR255W
YGL055W,YKL088W
YAL054C,YAR035W
YFR002W,YLR335W
YDR517W,YIL109C
YGR054W,YPL004C
YDL192W,YJL151C
YGL256W,YLR182W
YDR501W,YGR281W
YGL077C,YIL105C
YDR011W,YIL121W
YLL028W,YLR221C
YDL208W,YDL213C
YHR007C,YJL117W
YGR055W,YIL121W
YGL078C,YHR089C
YHR116W,YLR182W
YDL192W,YML086C
