pair	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	orf_name_1	gene_name_1	uniprot_ac_1	orf_name_2	gene_name_2	uniprot_ac_2	orf_name_a	orf_name_b
YHR005C-A_YHR005C-A	1	0	Structure	3dxr	2	B	0	100.0	74.2	15	83	-	B	3	100.0	74.2	15	83	-	P87108-P87108-EXP-3dxr.pdb2-B-0-B-3.pdb	YHR005C-A	TIM10	P87108	YHR005C-A	TIM10	P87108	YHR005C-A	YHR005C-A
YDR363W-A_YER021W	1	0	Structure	3jck	1	I	0	79.3	65.2	31	88	-	A	0	100.0	67.3	131	482	-	O94742-P40016-EXP-3jck.pdb1-I-0-A-0.pdb	YDR363W-A	SEM1	O94742	YER021W	RPN3	P40016	YDR363W-A	YER021W
YER021W_YFR052W	1	0	Structure	3jck	1	H	0	92.5	97.1	7	272	-	A	0	100.0	67.3	131	482	-	P32496-P40016-EXP-3jck.pdb1-H-0-A-0.pdb	YFR052W	RPN12	P32496	YER021W	RPN3	P40016	YER021W	YFR052W
YER021W_YIL075C	1	0	Structure	5mpd	1	N	0	96.5	97.6	4	925	-	S	0	100.0	90.8	18	492	-	P32565-P40016-EXP-5mpd.pdb1-N-0-S-0.pdb	YIL075C	RPN2	P32565	YER021W	RPN3	P40016	YER021W	YIL075C
YDR159W_YDR363W-A	1	0	Structure	3t5v	1	C	0	83.6	75.3	23	89	-	A	0	100.0	23.0	253	551	-	O94742-P46674-EXP-3t5v.pdb1-C-0-A-0.pdb	YDR363W-A	SEM1	O94742	YDR159W	SAC3	P46674	YDR159W	YDR363W-A
YDR159W_YOR257W	1	0	Structure	3fwb	1	A	0	100.0	95.0	9	161	-	B	0	100.0	4.2	752	805	-	P06704-P46674-EXP-3fwb.pdb1-A-0-B-0.pdb	YOR257W	CDC31	P06704	YDR159W	SAC3	P46674	YDR159W	YOR257W
YDR159W_YOR098C	1	0	Structure	4mbe	2	H	0	100.0	0.9	330	339	-	E	0	100.0	3.9	755	805	-	P20676-P46674-EXP-4mbe.pdb2-H-0-E-0.pdb	YOR098C	NUP1	P20676	YDR159W	SAC3	P46674	YDR159W	YOR098C
YDR363W-A_YPR108W	1	0	Structure	3jck	1	I	0	79.3	65.2	31	88	-	D	0	95.0	94.2	21	424	-	O94742-Q06103-EXP-3jck.pdb1-I-0-D-0.pdb	YDR363W-A	SEM1	O94742	YPR108W	RPN7	Q06103	YDR363W-A	YPR108W
YER021W_YPR108W	1	0	Structure	3jck	1	A	0	100.0	67.3	131	482	-	D	0	95.0	94.2	21	424	-	P40016-Q06103-EXP-3jck.pdb1-A-0-D-0.pdb	YER021W	RPN3	P40016	YPR108W	RPN7	Q06103	YER021W	YPR108W
YGL048C_YPR108W	1	0	Structure	4cr2	1	J	0	100.0	92.1	24	396	-	R	0	100.0	93.2	23	422	-	Q01939-Q06103-EXP-4cr2.pdb1-J-0-R-0.pdb	YGL048C	RPT6	Q01939	YPR108W	RPN7	Q06103	YGL048C	YPR108W
YDR363W-A_YOL072W	1	0	Structure	5ubp	1	C	0	76.2	70.8	27	89	-	B	0	100.0	100.0	1	455	-	O94742-Q08231-EXP-5ubp.pdb1-C-0-B-0.pdb	YDR363W-A	SEM1	O94742	YOL072W	THP1	Q08231	YDR363W-A	YOL072W
YDR159W_YOL072W	1	0	Structure	5ubp	1	A	0	100.0	36.0	79	547	-	B	0	100.0	100.0	1	455	-	P46674-Q08231-EXP-5ubp.pdb1-A-0-B-0.pdb	YDR159W	SAC3	P46674	YOL072W	THP1	Q08231	YDR159W	YOL072W
YOL072W_YOL072W	1	0	Structure	4trq	1	E	0	100.0	62.9	170	455	-	B	0	100.0	62.9	170	455	-	Q08231-Q08231-EXP-4trq.pdb1-E-0-B-0.pdb	YOL072W	THP1	Q08231	YOL072W	THP1	Q08231	YOL072W	YOL072W
YJR048W_YJR048W	1	0	Structure	1ycc	1	A	0	100.0	99.1	2	109	-	A	1	100.0	99.1	2	109	-	P00044-P00044-EXP-1ycc.pdb1-A-0-A-1.pdb	YJR048W	CYC1	P00044	YJR048W	CYC1	P00044	YJR048W	YJR048W
YJR048W_YKR066C	1	0	Structure	2bcn	1	B	0	99.1	99.1	2	109	-	A	0	99.3	81.4	68	361	-	P00044-P00431-EXP-2bcn.pdb1-B-0-A-0.pdb	YJR048W	CYC1	P00044	YKR066C	CCP1	P00431	YJR048W	YKR066C
YKR066C_YKR066C	1	0	Structure	6p43	1	C	0	99.3	81.4	68	361	-	A	0	99.3	81.4	68	361	-	P00431-P00431-EXP-6p43.pdb1-C-0-A-0.pdb	YKR066C	CCP1	P00431	YKR066C	CCP1	P00431	YKR066C	YKR066C
YJR048W_YOR065W	1	0	Structure	3cx5	1	W	0	100.0	99.1	2	109	-	O	0	100.0	80.3	62	309	-	P00044-P07143-EXP-3cx5.pdb1-W-0-O-0.pdb	YJR048W	CYC1	P00044	YOR065W	CYT1	P07143	YJR048W	YOR065W
YEL039C_YOR065W	1	0	Structure	3cxh	1	W	0	100.0	99.1	2	113	-	O	0	100.0	79.6	62	307	-	P00045-P07143-EXP-3cxh.pdb1-W-0-O-0.pdb	YEL039C	CYC7	P00045	YOR065W	CYT1	P07143	YEL039C	YOR065W
YFR033C_YOR065W	1	0	Structure	3cx5	1	F	0	100.0	50.3	74	147	-	D	0	100.0	80.3	62	309	-	P00127-P07143-EXP-3cx5.pdb1-F-0-D-0.pdb	YFR033C	QCR6	P00127	YOR065W	CYT1	P07143	YFR033C	YOR065W
YDR529C_YOR065W	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	O	0	100.0	80.3	62	309	-	P00128-P07143-EXP-3cx5.pdb1-R-0-O-0.pdb	YDR529C	QCR7	P00128	YOR065W	CYT1	P07143	YDR529C	YOR065W
Q0105_YOR065W	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	O	0	100.0	80.3	62	309	-	P00163-P07143-EXP-3cx5.pdb1-N-0-O-0.pdb	Q0105	COB	P00163	YOR065W	CYT1	P07143	Q0105	YOR065W
YOR065W_YOR065W	1	0	Structure	3cx5	1	O	0	100.0	80.3	62	309	-	D	0	100.0	80.3	62	309	-	P07143-P07143-EXP-3cx5.pdb1-O-0-D-0.pdb	YOR065W	CYT1	P07143	YOR065W	CYT1	P07143	YOR065W	YOR065W
YEL039C_YEL039C	1	0	Structure	1yea	1	A	0	100.0	99.1	2	113	-	A	1	100.0	99.1	2	113	-	P00045-P00045-EXP-1yea.pdb1-A-0-A-1.pdb	YEL039C	CYC7	P00045	YEL039C	CYC7	P00045	YEL039C	YEL039C
YFR033C_YJL166W	1	0	Structure	3cx5	1	F	0	100.0	50.3	74	147	-	H	0	100.0	98.9	2	94	-	P00127-P08525-EXP-3cx5.pdb1-F-0-H-0.pdb	YFR033C	QCR6	P00127	YJL166W	QCR8	P08525	YFR033C	YJL166W
YDR529C_YJL166W	1	0	Structure	3cx5	1	G	0	100.0	99.2	2	127	-	H	0	100.0	98.9	2	94	-	P00128-P08525-EXP-3cx5.pdb1-G-0-H-0.pdb	YDR529C	QCR7	P00128	YJL166W	QCR8	P08525	YDR529C	YJL166W
Q0105_YJL166W	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	H	0	100.0	98.9	2	94	-	P00163-P08525-EXP-3cx5.pdb1-N-0-H-0.pdb	Q0105	COB	P00163	YJL166W	QCR8	P08525	Q0105	YJL166W
YJL166W_YOR065W	1	0	Structure	3cx5	1	D	0	100.0	80.3	62	309	-	H	0	100.0	98.9	2	94	-	P07143-P08525-EXP-3cx5.pdb1-D-0-H-0.pdb	YOR065W	CYT1	P07143	YJL166W	QCR8	P08525	YJL166W	YOR065W
YBL045C_YJL166W	1	0	Structure	3cx5	1	L	0	99.8	94.3	27	457	-	S	0	100.0	98.9	2	94	-	P07256-P08525-EXP-3cx5.pdb1-L-0-S-0.pdb	YBL045C	COR1	P07256	YJL166W	QCR8	P08525	YBL045C	YJL166W
YEL024W_YJL166W	1	0	Structure	3cx5	1	E	0	100.0	86.0	31	215	-	H	0	100.0	98.9	2	94	-	P08067-P08525-EXP-3cx5.pdb1-E-0-H-0.pdb	YEL024W	RIP1	P08067	YJL166W	QCR8	P08525	YEL024W	YJL166W
YJL166W_YJL166W	1	0	Structure	3cx5	1	S	0	100.0	98.9	2	94	-	H	0	100.0	98.9	2	94	-	P08525-P08525-EXP-3cx5.pdb1-S-0-H-0.pdb	YJL166W	QCR8	P08525	YJL166W	QCR8	P08525	YJL166W	YJL166W
Q0105_YDR529C	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	N	0	100.0	100.0	1	385	-	P00128-P00163-EXP-3cx5.pdb1-R-0-N-0.pdb	YDR529C	QCR7	P00128	Q0105	COB	P00163	Q0105	YDR529C
Q0105_Q0105	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	C	0	100.0	100.0	1	385	-	P00163-P00163-EXP-3cx5.pdb1-N-0-C-0.pdb	Q0105	COB	P00163	Q0105	COB	P00163	Q0105	Q0105
YBL045C_YDR529C	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	A	0	99.8	94.3	27	457	-	P00128-P07256-EXP-3cx5.pdb1-R-0-A-0.pdb	YDR529C	QCR7	P00128	YBL045C	COR1	P07256	YBL045C	YDR529C
Q0105_YBL045C	1	0	Structure	3cx5	1	C	0	100.0	100.0	1	385	-	A	0	99.8	94.3	27	457	-	P00163-P07256-EXP-3cx5.pdb1-C-0-A-0.pdb	Q0105	COB	P00163	YBL045C	COR1	P07256	Q0105	YBL045C
YBL045C_YNL052W	1	0	Structure	6giq	1	e	0	100.0	62.7	31	126	-	A	0	100.0	94.3	27	457	-	P00424-P07256-EXP-6giq.pdb1-e-0-A-0.pdb	YNL052W	COX5A	P00424	YBL045C	COR1	P07256	YBL045C	YNL052W
YBL045C_YOR065W	1	0	Structure	3cx5	1	O	0	100.0	80.3	62	309	-	L	0	99.8	94.3	27	457	-	P07143-P07256-EXP-3cx5.pdb1-O-0-L-0.pdb	YOR065W	CYT1	P07143	YBL045C	COR1	P07256	YBL045C	YOR065W
YDR529C_YPR191W	1	0	Structure	3cx5	1	G	0	100.0	99.2	2	127	-	M	0	100.0	95.7	17	368	-	P00128-P07257-EXP-3cx5.pdb1-G-0-M-0.pdb	YDR529C	QCR7	P00128	YPR191W	QCR2	P07257	YDR529C	YPR191W
YBL045C_YPR191W	1	0	Structure	3cx5	1	L	0	99.8	94.3	27	457	-	M	0	100.0	95.7	17	368	-	P07256-P07257-EXP-3cx5.pdb1-L-0-M-0.pdb	YBL045C	COR1	P07256	YPR191W	QCR2	P07257	YBL045C	YPR191W
YPR191W_YPR191W	1	0	Structure	3cx5	1	M	0	100.0	95.7	17	368	-	B	0	100.0	95.7	17	368	-	P07257-P07257-EXP-3cx5.pdb1-M-0-B-0.pdb	YPR191W	QCR2	P07257	YPR191W	QCR2	P07257	YPR191W	YPR191W
YDR529C_YHR001W-A	1	0	Structure	6giq	1	R	0	100.0	99.2	2	127	-	V	0	100.0	66.2	11	61	-	P00128-P37299-EXP-6giq.pdb1-R-0-V-0.pdb	YDR529C	QCR7	P00128	YHR001W-A	QCR10	P37299	YDR529C	YHR001W-A
Q0105_YHR001W-A	1	0	Structure	6giq	1	N	0	100.0	100.0	1	385	-	V	0	100.0	66.2	11	61	-	P00163-P37299-EXP-6giq.pdb1-N-0-V-0.pdb	Q0105	COB	P00163	YHR001W-A	QCR10	P37299	Q0105	YHR001W-A
YHR001W-A_YOR065W	1	0	Structure	6hu9	1	D	0	100.0	79.9	62	308	-	J	0	100.0	98.7	2	77	-	P07143-P37299-EXP-6hu9.pdb1-D-0-J-0.pdb	YOR065W	CYT1	P07143	YHR001W-A	QCR10	P37299	YHR001W-A	YOR065W
YBL045C_YHR001W-A	1	0	Structure	6giq	1	A	0	100.0	94.3	27	457	-	V	0	100.0	66.2	11	61	-	P07256-P37299-EXP-6giq.pdb1-A-0-V-0.pdb	YBL045C	COR1	P07256	YHR001W-A	QCR10	P37299	YBL045C	YHR001W-A
YHR001W-A_YPR191W	1	0	Structure	6hu9	1	M	0	100.0	95.7	17	368	-	U	0	100.0	98.7	2	77	-	P07257-P37299-EXP-6hu9.pdb1-M-0-U-0.pdb	YPR191W	QCR2	P07257	YHR001W-A	QCR10	P37299	YHR001W-A	YPR191W
YEL024W_YHR001W-A	1	0	Structure	6giq	1	E	0	100.0	86.0	31	215	-	V	0	100.0	66.2	11	61	-	P08067-P37299-EXP-6giq.pdb1-E-0-V-0.pdb	YEL024W	RIP1	P08067	YHR001W-A	QCR10	P37299	YEL024W	YHR001W-A
YGR183C_YHR001W-A	1	0	Structure	6giq	1	I	0	100.0	81.8	5	58	-	V	0	100.0	66.2	11	61	-	P22289-P37299-EXP-6giq.pdb1-I-0-V-0.pdb	YGR183C	QCR9	P22289	YHR001W-A	QCR10	P37299	YGR183C	YHR001W-A
Q0105_YEL024W	1	0	Structure	3cx5	1	C	0	100.0	100.0	1	385	-	E	0	100.0	86.0	31	215	-	P00163-P08067-EXP-3cx5.pdb1-C-0-E-0.pdb	Q0105	COB	P00163	YEL024W	RIP1	P08067	Q0105	YEL024W
YEL024W_YOR065W	1	0	Structure	3cx5	1	O	0	100.0	80.3	62	309	-	P	0	100.0	86.0	31	215	-	P07143-P08067-EXP-3cx5.pdb1-O-0-P-0.pdb	YOR065W	CYT1	P07143	YEL024W	RIP1	P08067	YEL024W	YOR065W
YBL045C_YEL024W	1	0	Structure	3cx5	1	A	0	99.8	94.3	27	457	-	E	0	100.0	86.0	31	215	-	P07256-P08067-EXP-3cx5.pdb1-A-0-E-0.pdb	YBL045C	COR1	P07256	YEL024W	RIP1	P08067	YBL045C	YEL024W
YML054C_YML054C	1	0	Structure	1kbi	1	A	0	98.6	86.5	81	591	-	A	1	98.6	86.5	81	591	-	P00175-P00175-EXP-1kbi.pdb1-A-0-A-1.pdb	YML054C	CYB2	P00175	YML054C	CYB2	P00175	YML054C	YML054C
YOL086C_YOL086C	1	0	Structure	4w6z	1	B	0	100.0	99.7	2	348	-	A	0	100.0	99.7	2	348	-	P00330-P00330-EXP-4w6z.pdb1-B-0-A-0.pdb	YOL086C	ADH1	P00330	YOL086C	ADH1	P00330	YOL086C	YOL086C
YGR192C_YGR192C	1	0	Structure	3pym	1	A	0	100.0	100.0	1	332	-	A	1	100.0	100.0	1	332	-	P00359-P00359-EXP-3pym.pdb1-A-0-A-1.pdb	YGR192C	TDH3	P00359	YGR192C	TDH3	P00359	YGR192C	YGR192C
Q0045_Q0250	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	b	0	100.0	93.6	16	250	-	P00401-P00410-EXP-6giq.pdb1-a-0-b-0.pdb	Q0045	COX1	P00401	Q0250	COX2	P00410	Q0045	Q0250
Q0045_Q0275	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	c	0	100.0	97.4	8	269	-	P00401-P00420-EXP-6giq.pdb1-a-0-c-0.pdb	Q0045	COX1	P00401	Q0275	COX3	P00420	Q0045	Q0275
Q0045_YNL052W	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	e	0	100.0	62.7	31	126	-	P00401-P00424-EXP-6giq.pdb1-a-0-e-0.pdb	Q0045	COX1	P00401	YNL052W	COX5A	P00424	Q0045	YNL052W
Q0250_YNL052W	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	e	0	100.0	62.7	31	126	-	P00410-P00424-EXP-6giq.pdb1-b-0-e-0.pdb	Q0250	COX2	P00410	YNL052W	COX5A	P00424	Q0250	YNL052W
Q0045_YHR051W	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	f	0	100.0	66.9	47	145	-	P00401-P00427-EXP-6giq.pdb1-a-0-f-0.pdb	Q0045	COX1	P00401	YHR051W	COX6	P00427	Q0045	YHR051W
Q0250_YHR051W	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	f	0	100.0	66.9	47	145	-	P00410-P00427-EXP-6giq.pdb1-b-0-f-0.pdb	Q0250	COX2	P00410	YHR051W	COX6	P00427	Q0250	YHR051W
YHR051W_YNL052W	1	0	Structure	6giq	1	e	0	100.0	62.7	31	126	-	f	0	100.0	66.9	47	145	-	P00424-P00427-EXP-6giq.pdb1-e-0-f-0.pdb	YNL052W	COX5A	P00424	YHR051W	COX6	P00427	YHR051W	YNL052W
Q0045_YGL187C	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	d	0	100.0	31.6	59	107	-	P00401-P04037-EXP-6giq.pdb1-a-0-d-0.pdb	Q0045	COX1	P00401	YGL187C	COX4	P04037	Q0045	YGL187C
Q0250_YGL187C	1	0	Structure	6hu9	1	b	0	100.0	94.0	16	251	-	d	0	100.0	78.1	29	149	-	P00410-P04037-EXP-6hu9.pdb1-b-0-d-0.pdb	Q0250	COX2	P00410	YGL187C	COX4	P04037	Q0250	YGL187C
Q0275_YGL187C	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	d	0	100.0	31.6	59	107	-	P00420-P04037-EXP-6giq.pdb1-c-0-d-0.pdb	Q0275	COX3	P00420	YGL187C	COX4	P04037	Q0275	YGL187C
YGL187C_YHR051W	1	0	Structure	6hu9	1	f	0	100.0	68.9	45	146	-	d	0	100.0	78.1	29	149	-	P00427-P04037-EXP-6hu9.pdb1-f-0-d-0.pdb	YHR051W	COX6	P00427	YGL187C	COX4	P04037	YGL187C	YHR051W
Q0045_YLR395C	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	h	0	100.0	39.7	44	74	-	P00401-P04039-EXP-6giq.pdb1-a-0-h-0.pdb	Q0045	COX1	P00401	YLR395C	COX8	P04039	Q0045	YLR395C
Q0045_YDL067C	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	i	0	100.0	83.1	7	55	-	P00401-P07255-EXP-6giq.pdb1-a-0-i-0.pdb	Q0045	COX1	P00401	YDL067C	COX9	P07255	Q0045	YDL067C
Q0250_YDL067C	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	i	0	100.0	83.1	7	55	-	P00410-P07255-EXP-6giq.pdb1-b-0-i-0.pdb	Q0250	COX2	P00410	YDL067C	COX9	P07255	Q0250	YDL067C
YDL067C_YNL052W	1	0	Structure	6hu9	1	q	0	100.0	86.9	21	153	-	u	0	100.0	93.2	2	56	-	P00424-P07255-EXP-6hu9.pdb1-q-0-u-0.pdb	YNL052W	COX5A	P00424	YDL067C	COX9	P07255	YDL067C	YNL052W
YDL067C_YHR051W	1	0	Structure	6giq	1	f	0	100.0	66.9	47	145	-	i	0	100.0	83.1	7	55	-	P00427-P07255-EXP-6giq.pdb1-f-0-i-0.pdb	YHR051W	COX6	P00427	YDL067C	COX9	P07255	YDL067C	YHR051W
Q0045_YMR256C	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	g	0	100.0	48.3	26	54	-	P00401-P10174-EXP-6giq.pdb1-a-0-g-0.pdb	Q0045	COX1	P00401	YMR256C	COX7	P10174	Q0045	YMR256C
Q0275_YMR256C	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	g	0	100.0	48.3	26	54	-	P00420-P10174-EXP-6giq.pdb1-c-0-g-0.pdb	Q0275	COX3	P00420	YMR256C	COX7	P10174	Q0275	YMR256C
YGL187C_YMR256C	1	0	Structure	6hu9	1	p	0	100.0	78.1	29	149	-	s	0	100.0	98.3	2	60	-	P04037-P10174-EXP-6hu9.pdb1-p-0-s-0.pdb	YGL187C	COX4	P04037	YMR256C	COX7	P10174	YGL187C	YMR256C
Q0045_YGL191W	1	0	Structure	6hu9	1	m	0	100.0	100.0	1	534	-	w	0	100.0	87.6	13	125	-	P00401-P32799-EXP-6hu9.pdb1-m-0-w-0.pdb	Q0045	COX1	P00401	YGL191W	COX13	P32799	Q0045	YGL191W
Q0275_YGL191W	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	k	0	100.0	14.0	57	74	-	P00420-P32799-EXP-6giq.pdb1-c-0-k-0.pdb	Q0275	COX3	P00420	YGL191W	COX13	P32799	Q0275	YGL191W
YGL187C_YGL191W	1	0	Structure	6hu9	1	p	0	100.0	78.1	29	149	-	w	0	100.0	87.6	13	125	-	P04037-P32799-EXP-6hu9.pdb1-p-0-w-0.pdb	YGL187C	COX4	P04037	YGL191W	COX13	P32799	YGL187C	YGL191W
Q0045_YLR038C	1	0	Structure	6hu9	1	a	0	100.0	100.0	1	534	-	j	0	100.0	92.8	7	83	-	P00401-Q01519-EXP-6hu9.pdb1-a-0-j-0.pdb	Q0045	COX1	P00401	YLR038C	COX12	Q01519	Q0045	YLR038C
Q0250_YLR038C	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	j	0	100.0	68.7	24	80	-	P00410-Q01519-EXP-6giq.pdb1-b-0-j-0.pdb	Q0250	COX2	P00410	YLR038C	COX12	Q01519	Q0250	YLR038C
